cidade,meio,cod_municipal,veiculos_mapeados,regiao_metropolitana,uf,estado,regiao,pais,POP,RDPC,I_ESCOLARIDADE,IDHM,IDHM_E,IDHM_L,IDHM_R
ITAGUAÍ,Jornal,330200,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,108802,635.5,0.575,0.715,0.638,0.814,0.703
MACAÉ,Jornal,330240,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,206005,1103.42,0.678,0.764,0.681,0.828,0.792
MIGUEL PEREIRA,Jornal,330290,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,24530,801.63,0.561,0.745,0.675,0.828,0.74
NOVA IGUAÇU,Jornal,330350,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,795259,591.0,0.604,0.713,0.641,0.818,0.691
PARAÍBA DO SUL,Jornal,330370,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,40927,613.56,0.527,0.702,0.61,0.812,0.697
RIO DAS OSTRAS,Jornal,330452,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,104951,1051.19,0.665,0.773,0.689,0.854,0.784
SÃO JOÃO DE MERITI,Jornal,330510,4,RM Rio de Janeiro,RJ,Rio de Janeiro,Sudeste,Brasil,458238,597.57,0.614,0.719,0.646,0.831,0.693
SAQUAREMA,Jornal,330550,4,n/d,RJ,Rio de Janeiro,Sudeste,Brasil,73920,681.62,0.566,0.709,0.621,0.804,0.714
ADAMANTINA,Jornal,350010,4,n/d,SP,São Paulo,Sudeste,Brasil,33490,975.43,0.608,0.79,0.75,0.852,0.772
AGUAÍ,Jornal,350030,4,n/d,SP,São Paulo,Sudeste,Brasil,32089,636.07,0.467,0.715,0.606,0.858,0.703
ATIBAIA,Jornal,350410,4,n/d,SP,São Paulo,Sudeste,Brasil,125501,1063.52,0.58,0.765,0.67,0.851,0.786
AVARÉ,Jornal,350450,4,n/d,SP,São Paulo,Sudeste,Brasil,80833,854.42,0.582,0.767,0.695,0.866,0.751
BEBEDOURO,Jornal,350610,4,n/d,SP,São Paulo,Sudeste,Brasil,74728,881.64,0.594,0.78,0.735,0.853,0.756
CÂNDIDO MOTA,Jornal,351000,4,n/d,SP,São Paulo,Sudeste,Brasil,29731,627.55,0.532,0.747,0.704,0.845,0.701
