cidade,uf,regiao,veiculos,codmun,pop_dou_2017,veiculos_por_100khab
POTIRAGUÁ,BA,Nordeste,1,2925402,8438,11
POTÉ,MG,Sudeste,2,3152402,16641,12
POUSO ALTO,MG,Sudeste,1,3152600,6185,16
POUSO REDONDO,SC,Sul,1,4213708,16957,5
POÇO FUNDO,MG,Sudeste,2,3151701,16903,11
POÇO VERDE,SE,Nordeste,1,2805505,23740,4
POÇÃO DE PEDRAS,MA,Nordeste,2,2108900,17023,11
POÇÕES,BA,Nordeste,1,2925105,48861,2
PRADO,BA,Nordeste,1,2925501,29326,3
PRADOS,MG,Sudeste,1,3152709,9021,11
PRADÓPOLIS,SP,Sudeste,2,3540903,20516,9
PRANCHITA,PR,Sul,2,4120358,5477,36
PRATA,MG,Sudeste,2,3152808,27796,7
PRATINHA,MG,Sudeste,1,3153004,3569,28
PRATÁPOLIS,MG,Sudeste,1,3152907,8890,11
PRESIDENTE BERNARDES,SP,Sudeste,1,3541208,13420,7
PRESIDENTE CASTELLO BRANCO,SC,Sul,1,4213906,1610,62
PRESIDENTE DUTRA,BA,Nordeste,1,2925600,15734,6
PRESIDENTE FIGUEIREDO,AM,Norte,1,1303536,34574,2
PRESIDENTE JUSCELINO,MG,Sudeste,1,3153202,3827,26
PRESIDENTE KENNEDY,ES,Sudeste,1,3204302,11742,8
PRESIDENTE NEREU,SC,Sul,1,4214102,2304,43
PRESIDENTE OLEGÁRIO,MG,Sudeste,1,3153400,19599,5
PRIMAVERA,PA,Norte,1,1506104,10534,9
